delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_80163EC8 -> 0 sibling(s) of class 3b27c13d8d73
delever --propagate: src/ov_SC04_011/ov_SC04_011_jr_8015C32C.c:func_8015D01C -> 132 sibling(s) of class 4ea6e9f0cbcd
  delever --apply-body: src/ov_SC06_000/ov_SC06_000_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.37 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_010/ov_SC06_010_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.68 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_008/ov_SC06_008_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.58 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_016/ov_SC06_016_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.51 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_013/ov_SC06_013_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_014/ov_SC06_014_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_011/ov_SC06_011_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.61 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_015/ov_SC06_015_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.82 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_018/ov_SC06_018_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_020/ov_SC06_020_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.52 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_010/ov_SC07_010_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.60 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_006/ov_SC07_006_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.39 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC07_000/ov_SC07_000_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.49 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_027/ov_SC06_027_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.41 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_024/ov_SC06_024_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.47 s) — KEPT, ledgered (rung D, p1)
  delever --apply-body: src/ov_SC06_029/ov_SC06_029_jr_8015C32C.c:func_8015D01C IDENTICAL on 1 object(s) (0.52 s) — KEPT, ledgered (rung D, p1)
